17:41:29.784 [main] DEBUG oct1_log4j.LogFileImpl - i am from debug
17:41:29.838 [main] ERROR oct1_log4j.LogFileImpl - i am from error
17:41:29.838 [main] INFO  oct1_log4j.LogFileImpl - i am from info
18:31:47.835 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@id='SubmitLogin']]
18:31:47.840 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //button[@class='button btn btn-default button-medium']
18:31:47.935 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //button[@class='button btn btn-default button-medium']
18:31:47.936 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='button btn btn-default button-medium']]
18:31:50.558 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='button btn btn-default button-medium']]
18:31:50.567 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //input[@id='cgv']
18:31:50.617 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //input[@id='cgv']
18:31:50.617 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //input[@id='cgv']]
18:31:50.790 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //input[@id='cgv']]
18:31:50.795 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //button[@class='button btn btn-default standard-checkout button-medium']
18:31:50.856 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //button[@class='button btn btn-default standard-checkout button-medium']
18:31:50.856 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='button btn btn-default standard-checkout button-medium']]
18:31:53.330 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='button btn btn-default standard-checkout button-medium']]
18:31:53.335 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: (//p[@class='payment_module'])[1]
18:31:53.386 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: (//p[@class='payment_module'])[1]
18:31:53.387 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//p[@class='payment_module'])[1]]
18:31:54.814 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//p[@class='payment_module'])[1]]
18:31:54.821 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //button[@class='button btn btn-default button-medium']
18:31:54.857 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //button[@class='button btn btn-default button-medium']
18:31:54.858 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='button btn btn-default button-medium']]
